ID;Name;Designator;Footprint;Quantity;Manufacturer Part;Manufacturer
1;10uF;C1,C3;CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD;2;;
2;100uF;C2;CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD;1;;
3;FREEZE;D1;LED_1206;1;;
4;RANDOM;D2;LED_1206;1;;
5;CLIPPING;D3;LED_1206;1;;
6;SIGNAL INPUT;J1;STEREO JACK;1;PJ-307;
7;STEREO OUTPUT;J2;STEREO JACK;1;PJ-307;
8;FREEZE;KEY1;KEY_PACK_1A;1;DS1041-24KYAS;CONNFLY
9;RANDOM;KEY2;KEY_PACK_1A;1;DS1041-24KYAS;CONNFLY
10;10K;MIX,SIZE,SPEED,TONE;ALPS_POT_KIT;4;R9011-1-10K;
11;100k;R1,R2;R1206;2;;
12;4k7;R3,R4,R5;R1206;3;;
13;1k;R7,R8;R1206;2;;
14;ARDUINO_NANO;U1;COMM-TH_ARDUINO_NANO;1;ARDUINO_NANO_R4;ARDUINO
15;BUTTON_CAP;;;2;;
16;POT_CAP;;;4;;
17;SPACER;;M3x10;4;;
18;SCREWS;;M3x6;8;;
